Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
3P Land Hold.,516092,3PLAND,Finance & Investments,59.88,107.78,23.67,51.57,73.30,0.00,0.00,0.00,0.00,2.94,2.20,2.09,1.54,-6.19,-0.27,114.62,1.16,0.53,0.21,1.01,0.86,0.44,146.23,86.60,44.75,11.55,0.60,4.41,146.23,86.60,44.75,11.55,0.00,2.37,18.01,54.24,-0.07,1.16,0.89,0.00,0.12,0.01,0.05,-0.82,-1.60,0.00,36.17,14.11,40.46,-32.57,2.26,29.81,61.54,2.19,0.96,0.38
A-1,542012,,Trading,399.35,459.25,36.80,165.79,70.03,0.00,0.00,21.65,0.45,4.67,2.75,2.77,3.61,-0.30,3.73,8.09,2.41,0.84,0.73,0.96,3.14,-0.03,-20.83,-20.63,-35.64,,-8.04,246.31,-20.83,-20.63,-11.11,,16.61,14.71,18.85,,50.99,40.69,31.07,16.66,10.29,15.69,19.06,16.68,6.33,87.89,12.40,7.89,10.01,,8.05,97.86,-4.09,8.20,0.97,0.84
Aarnav Fashions,539562,,Textiles - Products,63.95,270.12,29.32,36.06,66.53,0.00,-1.19,105.48,0.58,6.70,3.19,7.49,0.38,10.53,15.83,110.57,1.77,0.51,0.42,1.33,0.09,0.43,-25.65,17.22,21.83,12.50,0.36,373.69,4.98,98.88,77.72,,143.08,0.00,0.02,0.00,175.43,176.84,3.44,2.88,28.23,40.57,83.73,-138.77,-138.82,66.93,13.03,196.05,148.16,,3.62,472.64,4.93,2.97,2.15,1.78
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,29490.20,62666.68,43.20,48.78,74.99,0.00,0.00,60.50,0.02,46.02,34.88,1284.66,949.41,0.77,1.55,23.47,604.57,168.76,154.36,565.30,446.80,147.27,20.24,22.01,23.33,20.21,2.22,6066.05,20.24,22.01,23.33,20.21,152.58,0.00,0.00,0.00,1751.47,2491.45,1904.09,1261.38,1164.68,859.76,2928.26,4242.37,4925.99,55.06,10.71,9.72,10.53,9.90,30.47,18.79,7.58,32.20,358.61,328.01
Accedere,531533,,Computers - Software - Medium / Small,96.52,48.55,44.25,539.44,81.46,0.00,0.00,0.16,0.04,-1.57,-1.71,0.07,-0.08,-1.01,7.52,23.90,0.16,0.20,-0.02,-0.14,-0.06,-0.10,,,,,,3.80,,,,,0.05,0.05,,,3.95,3.21,3.19,,0.08,0.24,0.52,1.26,,0.00,64.99,10.84,,,-0.63,-71.17,80.09,-0.97,0.10,-0.03
Action Const.Eq.,532762,ACE,Engineering,1518.10,18078.02,43.32,49.44,65.41,0.00,0.00,114.12,0.08,42.30,30.58,365.69,172.98,4.97,6.52,66.57,30.71,7.96,7.07,27.56,14.41,6.21,60.44,42.16,57.42,56.79,1.16,3079.90,63.04,42.59,57.76,59.72,54.58,53.24,113.65,149.61,417.16,106.24,32.79,16.22,268.14,237.89,565.25,645.00,753.38,69.42,33.41,16.76,21.37,16.81,20.67,55.53,23.44,23.16,94.82,84.18
AD Manum Finance,511359,,Finance & Investments,100.77,75.58,23.67,7.63,74.30,0.00,0.00,24.13,0.32,15.67,11.58,9.91,5.02,9.76,8.39,138.85,13.21,3.48,2.36,10.27,6.69,1.81,36.16,48.28,37.23,3.04,0.16,13.42,36.16,48.28,37.23,3.04,11.54,24.31,32.34,63.37,2.30,12.02,68.02,72.83,1.41,-0.19,-1.12,20.34,19.13,0.00,5.82,2.26,-2.81,-7.91,8.05,89.12,53.90,8.23,2.61,1.77
Adani Total Gas,542066,ATGL,Miscellaneous,727.65,80027.68,19.22,113.99,74.80,0.00,0.00,1457.45,0.37,21.20,20.46,702.04,546.49,7.12,-2.19,-33.28,6.38,1.69,1.56,6.07,4.97,1.57,12.13,22.74,,,5.01,4687.23,12.13,22.74,,,529.12,393.97,,,-191.41,-401.21,181.72,,155.89,-322.52,-384.89,-286.87,-34.67,63.64,38.19,21.09,,,23.66,22.95,7.21,21.23,185.60,171.84
Adani Wilmar,543458,AWL,Solvent Extraction,328.60,42707.44,39.34,40.56,87.87,0.00,0.00,2000.79,0.22,10.41,3.65,1052.93,607.24,-0.18,5.74,-13.00,8.10,2.51,2.49,2.14,4.67,-0.67,-65.86,-40.96,-26.51,19.27,-10.17,52888.46,-23.22,-3.99,4.00,52.77,3050.84,1829.46,2621.69,1947.80,4802.67,2281.98,489.32,1990.24,-544.60,-153.96,-26.54,416.13,1931.25,88.28,9.91,11.32,11.51,12.79,10.63,253.10,1.84,8.15,325.73,323.55
Aditya AMC,543374,ABSLAMC,Finance & Investments,822.20,23717.52,23.67,26.48,74.95,0.00,-0.05,75.05,0.02,34.89,27.45,895.77,596.38,0.68,-3.51,72.89,31.09,8.41,8.18,27.09,20.71,6.18,-54.75,-35.79,-19.53,,2.24,1517.86,14.03,11.80,19.58,,59.31,71.87,0.00,,16.87,-26.80,64.39,-22.79,654.76,418.71,1620.66,2603.06,3227.96,0.00,10.82,3.05,7.08,,30.92,34.80,20.74,28.66,242.34,235.71
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,210.23,2718.70,28.39,60.29,66.99,0.00,0.00,0.70,0.00,26.48,20.50,45.09,30.16,1.65,-4.81,32.43,3.49,1.05,0.96,3.23,2.64,0.89,0.66,0.84,,,1.41,332.65,79.34,42.61,,,53.07,72.97,,,181.65,66.48,75.42,,6.22,-2.20,22.86,43.61,39.55,63.37,29.98,17.02,,,24.25,11.86,9.81,26.95,13.59,12.38
Aether Industri.,543534,AETHER,Chemicals,905.70,12008.04,35.13,118.26,81.79,0.00,0.00,156.56,0.07,7.82,5.93,88.42,130.42,4.10,4.48,0.17,6.67,2.87,2.28,6.65,10.47,2.85,-52.76,-22.92,34.17,18.73,3.55,646.86,11.43,33.32,90.84,49.89,211.27,126.49,110.54,40.07,1144.99,154.29,40.48,21.50,-305.14,-363.20,-825.52,-909.51,-903.77,50.90,9.81,24.25,57.82,,15.24,-27.78,-4.34,12.23,38.07,30.25
AGI Infra,539042,AGIIL,Construction,1788.60,2185.08,35.07,38.94,72.94,0.00,0.00,141.93,0.55,25.14,26.24,56.12,48.11,-1.59,2.97,120.15,45.94,14.28,11.80,42.64,39.38,11.86,45.47,36.24,35.44,,0.95,302.81,45.47,41.20,38.95,,51.72,113.94,53.85,,106.40,91.33,125.20,75.88,27.58,67.72,163.02,243.88,222.69,-47.16,38.41,29.38,10.45,,28.19,5.15,13.44,29.92,17.45,14.41
Ahm. Steelcraft,522273,,Trading,313.70,473.44,36.80,2959.00,67.89,0.00,0.00,0.00,0.00,-18.10,-16.94,0.16,-0.66,17.89,7.80,981.72,-2.33,1.01,0.00,-5.60,-1.61,-1.88,,,,,,38.51,,,,,0.00,0.00,0.00,0.00,42.40,2.88,4.96,2.65,4.62,-1.88,1.73,-1.63,-7.32,66.23,-26.51,-40.46,-21.44,-23.91,-5.14,115.84,1787.75,-7.12,1.53,0.00
Ajcon Global,511692,,Finance & Investments,66.45,40.67,17.16,28.05,65.84,0.00,-0.41,10.95,0.46,7.06,5.60,1.48,0.57,-9.59,10.20,40.34,2.37,1.18,0.56,2.04,0.90,0.46,24.36,110.84,12.41,15.73,0.25,17.74,24.36,110.84,12.41,15.73,12.39,18.28,16.90,19.61,16.13,11.12,12.20,30.52,-0.23,-1.18,1.49,8.81,22.13,0.00,-30.56,-13.49,8.24,7.36,3.07,72.62,28.18,6.22,0.73,0.35
Ajmera Realty,513349,AJMERA,Construction,1117.05,4043.11,35.07,32.22,68.23,0.95,-5.97,818.66,0.89,11.72,12.54,128.46,71.59,7.75,-1.26,158.50,35.31,9.77,8.85,28.97,20.14,6.35,50.47,6.45,6.72,20.36,5.00,832.26,50.47,6.45,6.72,20.36,775.24,863.04,445.31,333.14,1576.83,1124.40,1179.14,587.59,217.06,130.89,281.97,435.77,-33.84,0.00,26.39,12.90,14.13,24.47,8.02,81.81,83.03,9.78,36.29,32.75
Alembic,506235,ALEMBICLTD,Construction,136.22,3497.88,35.07,11.27,70.88,0.00,0.00,16.21,0.01,4.81,12.56,310.39,190.65,2.25,-1.33,44.84,12.09,4.71,2.17,10.46,7.42,3.53,-7.57,4.78,9.33,,2.36,192.05,-7.57,4.78,8.73,,0.28,0.00,0.00,,72.18,26.36,6.51,18.17,-33.32,14.11,-70.58,-135.16,-122.40,5.81,28.91,4.93,0.97,,13.54,29.58,40.34,10.05,121.02,55.82
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1053.25,20703.01,39.47,32.53,69.61,0.00,0.00,1066.35,0.22,13.14,13.34,646.34,341.99,0.37,-2.98,29.75,32.90,7.80,6.85,31.33,17.40,6.95,-18.72,0.23,5.52,9.58,30.40,6357.26,-18.72,1.07,6.15,10.04,583.61,1128.43,88.51,109.40,2603.51,1496.38,897.20,768.30,487.29,282.41,897.79,1416.77,970.71,27.54,4.92,9.62,10.46,12.83,15.94,19.68,6.02,10.15,153.14,134.54
Allied Blenders,544203,ABDL,Breweries & Distilleries,437.45,12235.92,44.16,199.18,80.91,0.00,0.00,716.50,0.50,15.76,1.93,57.54,4.94,3.56,24.77,,2.04,1.73,0.44,0.28,0.20,0.48,11.63,-10.16,,,-20.92,3287.70,12.96,-9.52,,,957.76,1208.94,,,1405.30,488.02,687.04,,141.48,210.58,517.32,1278.35,,37.85,-19.50,2.42,,,2.03,65.93,5.76,1.50,48.45,12.19
Alphalogic Indu,543937,,Engineering,230.00,234.35,43.32,76.34,73.81,0.00,0.00,3.42,0.16,23.61,20.09,3.07,2.19,3.60,-5.23,11.60,3.01,1.80,1.22,2.31,36.50,1.09,-16.77,,,,,67.31,208.55,,,,0.56,,,,23.13,-0.02,,,-3.17,-1.92,-5.08,,,90.03,145.32,,,,,18.08,113.07,32.74,1.83,1.24
Amal,506597,,Chemicals,470.15,581.23,35.13,67.43,71.35,0.00,0.02,8.00,0.11,6.58,2.42,8.62,-16.11,7.81,2.07,27.31,6.97,4.47,0.36,1.38,-13.03,1.38,-42.48,,,,,97.65,-42.53,,,,5.65,,,,-1.25,1.02,,,12.57,-26.46,-78.18,-60.93,,52.57,41.45,,,,,192.99,31.04,-8.57,5.53,0.45
Amines & Plast.,506248,AMNPLST,Chemicals,312.25,1718.00,35.13,41.64,73.17,0.00,0.00,80.42,0.34,23.30,19.78,41.26,22.87,4.33,11.42,54.58,7.50,1.78,1.57,7.24,4.16,1.65,6.92,19.38,15.19,28.24,2.15,656.73,6.92,19.38,15.19,28.24,73.62,78.72,59.35,54.08,238.60,133.16,87.14,65.83,43.28,2.36,10.86,47.69,53.20,65.84,13.55,7.29,11.88,10.25,19.57,35.37,5.60,16.48,9.78,8.66
Amkay Products,544169,,Healthcare,62.45,54.05,58.09,17.10,73.44,0.00,0.00,2.75,0.12,22.36,21.98,3.16,1.55,-4.77,-4.03,,4.20,2.11,2.09,4.13,559.57,2.04,-85.76,,,,,34.53,-12.79,,,,0.42,,,,14.85,-0.93,,,-1.43,-0.01,-3.84,-3.84,,71.19,-8.55,,,,,46.92,11.52,21.70,1.83,1.33
Andrew Yule & Co,526173,ANDREWYU,Diversified - Medium / Small,39.00,1906.91,22.09,,89.25,0.00,0.00,119.36,0.33,-12.30,-12.94,-22.53,12.64,2.28,-8.92,2.01,-0.46,0.30,-0.05,-0.97,0.26,-0.11,,,,,,308.24,,,,,69.99,52.82,41.05,93.69,36.18,88.42,112.33,133.50,-5.81,7.76,-83.81,-156.78,-211.00,36.97,-2.13,-0.11,-4.29,-2.07,-1.66,-108.57,-11.35,-3.71,14.83,-2.67
ANI Integrated,,AISL,Miscellaneous,174.85,181.01,33.51,30.02,71.75,0.00,-3.22,23.71,0.37,11.95,9.58,6.04,2.47,-3.93,-4.17,144.55,6.02,1.92,1.22,4.88,2.55,1.27,0.50,-2.03,-32.56,-13.59,-14.79,198.37,0.50,-2.03,-6.72,16.22,6.30,1.64,3.04,1.82,81.16,39.91,37.03,15.84,-10.54,-1.95,-12.31,-13.92,-24.70,7.03,21.01,18.47,16.26,24.73,6.50,55.01,17.66,9.22,1.99,1.26
Anlon Tech,,ANLON,Miscellaneous,411.60,257.47,33.51,53.09,62.06,0.00,0.00,3.11,0.06,21.97,16.42,4.85,4.44,8.77,22.66,58.31,8.18,4.08,4.10,8.06,7.92,3.96,-77.83,-58.56,,,1.13,36.49,82.80,46.93,,,1.61,0.00,,,44.46,1.95,0.97,,-2.82,-9.58,-16.35,-15.78,,28.81,34.63,19.06,,,25.12,13.58,-2.12,23.98,2.55,2.30
Apeejay Surrend.,544111,PARKHOTELS,Hotels,203.27,4337.26,38.46,61.36,68.14,0.00,0.00,138.42,0.11,12.55,7.88,70.70,48.07,12.65,7.80,,3.60,1.25,-0.09,3.22,2.75,0.85,43.17,-12.72,,,1.40,591.20,46.46,43.98,,,615.54,487.21,,,122.69,-30.30,14.09,,51.00,134.52,217.11,,,-0.01,47.94,6.57,,,,35.14,7.51,4.66,26.76,-1.91
Archidply Decor,543231,ADL,Miscellaneous,98.40,54.77,54.27,182.57,72.96,0.00,0.00,22.64,0.45,4.13,0.06,0.30,0.73,1.45,2.96,5.41,0.54,0.47,-0.40,0.05,1.31,0.40,26.85,14.87,,,12.20,53.13,26.85,14.97,,,18.70,23.24,,,43.82,41.83,39.90,,-0.61,4.92,5.93,9.19,,69.31,13.77,-2.87,,,-0.34,500.00,4.85,0.67,0.26,-0.22
Archit Organosys,524640,,Chemicals,47.73,97.95,35.13,136.04,64.65,0.00,0.00,30.89,0.47,3.69,0.75,3.36,11.43,-0.87,3.18,-16.69,1.64,0.50,0.49,1.63,5.57,0.18,-59.61,15.65,-20.44,-13.98,8.54,112.34,-55.18,15.93,-16.85,-6.80,30.42,37.17,31.47,7.34,34.70,18.20,13.18,7.68,15.07,9.03,23.98,38.52,28.58,69.13,6.20,6.15,13.03,8.69,9.73,-86.23,-11.10,11.33,1.02,1.01
Arihant Capital,511605,ARIHANTCAP,Finance & Investments,103.21,1074.55,17.16,12.95,69.81,0.00,0.00,196.88,0.53,28.97,24.35,83.00,29.12,1.93,-1.97,46.19,7.97,1.92,1.81,6.77,2.80,1.41,26.73,33.41,22.86,25.64,0.39,285.58,26.74,33.41,22.86,25.65,56.26,109.16,8.46,0.01,298.91,191.76,192.23,79.00,-32.69,10.41,-33.36,51.49,-2.65,0.00,26.54,20.30,15.33,17.83,19.34,134.66,76.71,20.35,19.94,18.81
Aristo Bio-Tech,,ARISTO,Pesticides / Agrochemicals - Indian,133.00,90.54,31.81,15.42,73.37,0.00,0.00,20.32,0.53,13.25,12.23,5.87,3.56,-4.80,-10.80,88.52,8.62,6.68,1.94,5.73,5.23,3.78,38.37,-0.13,-15.43,,2.47,326.47,53.42,6.25,11.24,,22.25,14.45,10.35,,35.04,23.32,15.80,11.92,1.07,-6.57,-1.97,-2.47,3.75,92.14,13.65,3.98,6.34,,11.77,64.43,47.30,12.96,4.55,1.32
Arvee Laborat.,,ARVEE,Chemicals,174.61,192.42,35.13,84.39,73.50,0.00,0.00,1.00,0.03,6.83,3.53,2.28,4.12,-4.76,2.19,3.63,2.07,0.89,0.85,0.95,3.74,0.19,-25.98,-14.29,-9.98,,-5.92,36.97,-25.98,-14.26,-5.94,,8.88,12.87,24.99,,17.15,13.11,10.40,11.11,1.07,1.47,0.86,8.35,20.99,48.40,-13.80,-11.18,-1.79,,10.65,39.88,-18.42,9.84,0.98,0.94
Aryaman Capital,538716,,Finance & Investments,214.00,256.31,23.67,26.53,74.28,0.00,0.00,42.63,0.78,14.32,18.52,9.66,1.49,0.00,4.52,198.63,8.07,4.96,3.11,5.39,1.24,2.29,195.64,96.59,27.03,54.08,0.27,36.90,195.64,96.59,27.03,59.66,28.01,31.81,0.00,1.25,63.66,40.51,38.02,3.04,8.69,6.85,24.97,33.58,5.17,65.36,-36.67,-15.11,5.98,27.90,7.65,200.00,-27.58,10.85,5.94,3.72
Asian Energy,530355,ASIANENE,Oil Drilling / Allied Services,394.65,1767.02,22.51,44.09,60.97,0.00,2.45,12.25,0.04,12.51,11.36,38.76,-44.45,2.17,19.48,46.14,9.44,2.07,0.50,6.22,-11.65,0.27,-9.42,17.11,13.93,10.32,2.34,371.47,-7.21,18.82,15.68,12.43,4.16,9.96,82.64,46.65,208.20,64.19,56.06,36.02,-78.51,-3.93,-76.69,-45.02,-30.55,-0.10,10.07,9.49,13.68,9.61,9.18,311.73,149.17,4.05,9.30,2.07
ASK Automotive,544022,ASKAUTOLTD,Auto Ancillaries,493.80,9734.90,31.11,43.89,78.95,0.00,-6.05,399.86,0.43,24.24,23.81,221.82,122.95,6.06,7.29,71.25,11.25,3.41,2.88,8.81,6.24,2.09,23.90,-18.35,,,4.40,3380.23,22.61,9.97,,,84.17,306.63,,,95.81,110.63,36.75,,23.48,-11.31,71.50,370.06,,68.21,24.71,10.90,,,19.09,73.61,27.27,19.00,67.28,56.83
Athena Global,517429,,Computers - Software - Medium / Small,99.95,140.43,44.25,0.68,61.44,0.00,0.00,101.45,0.52,123.99,216.06,206.96,-22.03,-4.13,1.74,5.10,147.30,-3.34,-3.37,146.35,-16.00,-3.83,215.90,177.47,72.85,36.67,0.00,16.42,233.17,189.39,80.23,44.27,9.66,2.65,4.42,3.08,-3.76,-2.70,2.56,-2.74,3.63,-27.10,-36.73,-33.68,-36.36,24.53,-19.14,-0.53,3.85,7.94,,1022.28,45.18,,-4.69,-4.74
Atishay,538713,,Computers - Software - Medium / Small,223.00,244.88,44.25,35.23,74.99,0.00,0.00,4.46,0.10,19.12,14.04,6.95,0.65,3.72,7.89,406.47,6.33,1.32,0.98,5.05,0.59,0.94,35.32,7.20,8.88,6.26,4.89,52.31,35.32,7.20,8.88,9.55,0.65,4.95,4.29,1.95,14.27,11.73,11.10,3.99,6.46,-1.49,4.11,10.32,9.35,-2.08,18.07,10.69,10.65,11.29,5.99,256.41,94.97,5.50,1.45,1.08
Australian Prem,,APS,Electric Equipment,529.65,1045.53,67.07,62.72,73.64,0.00,0.00,8.73,0.14,22.33,19.62,16.67,3.30,3.59,4.14,,8.44,6.65,1.80,3.12,1650.00,1.80,-84.87,,,,,232.09,50.61,,,,3.29,,,,51.25,2.94,,,-19.04,0.96,-15.45,,,83.81,26.46,,,,,291.31,80.71,22.49,13.12,3.55
AYM Syntex,508933,AYMSYNTEX,Textiles - Processing,258.65,1513.08,29.50,79.89,65.99,0.00,-7.41,316.19,0.73,6.63,1.38,24.65,7.17,3.92,-7.93,254.80,4.87,0.78,0.45,0.40,1.42,-0.98,-28.89,-3.06,-26.72,-13.79,-79.89,1455.99,-28.61,-1.00,-24.00,-11.56,226.19,311.38,236.25,209.67,216.58,112.09,51.67,42.75,12.39,40.50,37.94,173.07,98.72,55.70,12.76,6.49,8.26,4.31,5.46,2181.93,9.51,5.40,3.94,2.27
B H E L,500103,BHEL,Electric Equipment,230.06,80108.35,67.07,180.14,63.17,0.00,0.00,9127.66,0.38,3.37,1.13,444.69,654.12,-2.27,-8.63,17.50,1.28,0.30,-0.61,0.81,1.88,-0.18,28.11,-22.53,-6.16,-22.01,-8.00,25833.08,28.11,-22.53,-6.86,-22.42,4950.89,2598.47,155.89,4693.07,19289.21,13603.15,18325.82,23117.63,-3936.48,-921.34,-4360.05,-7324.78,-10889.50,48.33,11.34,-4.73,-2.47,-4.92,-2.12,2.80,9.37,1.77,106.15,-211.40
Banco Products,500039,BANCOINDIA,Auto Ancillaries,482.90,6907.27,31.11,20.09,67.88,0.00,0.00,420.22,0.33,26.96,26.86,343.85,235.58,-8.55,-10.29,51.06,24.05,9.70,4.80,18.98,16.47,4.62,34.30,31.90,18.20,11.87,0.63,2993.32,34.30,31.90,18.20,11.87,14.23,39.88,38.37,172.29,1308.75,685.26,638.22,480.16,362.94,-134.98,212.62,363.78,434.11,57.87,21.79,12.06,12.17,9.51,19.07,21.00,15.47,22.73,138.70,68.67
Bang Overseas,532946,BANG,Trading,77.50,105.09,36.80,,72.98,0.00,0.00,31.50,0.37,-5.57,-8.98,-7.95,1.15,-5.73,-11.88,46.64,-5.86,0.01,-3.22,-6.18,0.85,-2.68,,,,4.19,,164.00,,,,4.19,23.80,28.90,44.34,77.34,90.68,88.43,77.34,87.00,-15.77,9.49,-19.76,-17.79,-15.44,79.53,32.80,-4.46,-3.62,-3.66,0.29,-70.24,33.27,-0.73,0.02,-4.37
Batliboi,522004,,Engineering,130.50,447.74,43.32,38.53,62.69,0.00,0.00,65.94,0.32,8.49,6.37,11.62,10.56,0.19,-13.40,29.85,3.64,1.16,0.82,3.15,3.66,0.83,55.45,-7.14,14.98,16.27,-5.57,301.85,55.73,-6.92,15.03,16.35,76.61,70.33,61.68,60.37,62.06,11.79,10.79,4.23,2.74,-0.58,18.95,31.99,32.82,58.10,23.51,2.84,4.96,0.71,-0.92,-16.52,12.05,3.72,3.99,2.82
Beta Drugs Ltd,,BETA,Pharmaceuticals - Indian - Bulk Drugs,2054.90,1975.55,33.34,48.18,66.73,0.00,0.00,19.06,0.11,32.76,26.03,41.00,30.72,-0.83,-8.38,43.97,42.65,25.42,17.23,37.90,31.95,20.67,45.95,32.46,,,1.37,334.75,45.95,35.29,,,17.46,19.97,,,120.36,38.28,21.42,,19.31,5.17,34.68,40.63,28.89,50.53,36.56,35.01,,,25.72,17.99,30.77,28.04,24.44,16.56
Bhageria Indust.,530803,BHAGERIA,Dyes And Pigments,209.79,915.61,30.74,32.33,71.75,0.00,0.00,11.36,0.02,5.12,3.74,28.32,15.05,7.46,0.07,24.58,6.49,1.54,1.40,4.50,3.45,0.65,-32.57,-23.13,-14.23,-0.99,-1.40,536.81,-32.57,-23.11,-10.31,2.19,26.91,23.49,144.99,40.81,195.09,143.04,85.84,128.10,8.36,-0.75,34.36,49.42,122.74,67.42,7.43,1.37,5.20,2.99,10.08,120.39,22.33,6.91,6.73,6.09
Bharat Rasayan,590021,BHARATRAS,Pesticides / Agrochemicals - Indian,10068.90,4183.90,31.81,29.86,74.99,0.00,0.00,63.06,0.06,11.14,8.52,140.14,130.83,-1.51,-10.95,8.68,337.26,96.62,64.50,196.40,314.85,18.51,-20.84,-6.16,5.97,14.95,-4.54,1152.63,-21.42,-6.58,5.63,14.70,58.45,246.99,114.71,143.23,830.09,432.58,477.53,190.10,14.12,191.24,84.48,448.21,345.01,69.06,-1.46,1.08,7.77,11.23,19.59,73.71,3.17,15.49,40.15,26.80
Bhatia Communic.,540956,,Trading,30.11,376.83,62.91,29.49,73.88,0.00,0.03,16.03,0.19,21.14,19.10,12.78,8.49,4.33,-5.82,35.14,1.02,0.29,0.29,0.92,0.68,0.20,45.52,18.13,8.81,10.59,1.63,422.84,45.50,18.12,55.25,41.82,10.92,5.72,4.34,3.76,78.07,28.72,29.64,3.13,15.75,6.45,19.52,27.87,29.17,90.88,33.78,20.18,18.74,15.34,14.95,12.50,14.03,16.38,3.66,3.65
Bikaji Foods,543653,BIKAJI,Food - Processing - Indian,748.35,18737.35,36.45,62.91,74.98,0.00,-0.12,179.80,0.13,29.65,24.73,297.83,138.43,-2.07,-6.61,30.52,11.90,2.88,2.42,10.77,5.55,2.45,-33.63,-12.47,-7.61,-1.28,1.59,2493.99,44.41,39.54,29.67,26.83,83.39,72.56,136.05,45.97,531.52,148.79,140.28,105.75,119.70,89.09,175.82,238.25,240.66,63.62,20.59,20.56,20.85,19.09,16.85,66.39,22.48,18.11,72.08,60.55
BLS Internat.,540073,BLS,Computers - Software - Medium / Small,505.50,20813.50,44.25,49.83,70.38,0.00,-1.14,378.90,0.27,31.02,31.09,439.15,204.27,5.47,20.26,50.33,10.15,3.36,2.77,7.60,4.89,1.91,83.83,32.95,29.81,,1.51,1873.27,84.12,33.07,29.89,,0.73,37.51,95.41,,965.89,378.42,314.90,140.41,286.08,192.84,582.24,738.68,934.36,0.00,51.91,15.84,14.88,,24.69,56.34,11.65,28.40,145.73,120.78
Blue Jet Health,544009,BLUEJET,Pharmaceuticals - Indian - Bulk Drugs & Formln,598.95,10389.71,39.47,59.43,86.00,0.00,0.00,1.08,0.00,29.97,22.43,167.89,160.03,8.55,19.57,58.81,9.68,3.36,2.18,9.44,9.23,2.76,-80.81,,,,,721.87,7.36,,,,53.12,,,,551.07,214.51,,,67.63,82.70,275.29,466.61,,44.18,12.56,,,,,-3.00,-3.38,28.41,58.35,37.78
Bombay Burmah,501425,BBTC,Auto Ancillaries,2193.85,15306.91,31.11,12.40,74.05,0.00,0.00,2956.75,0.58,28.31,16.33,2267.17,-533.69,3.41,-6.40,37.64,174.26,36.22,31.86,98.09,-240.22,17.49,24.43,2.78,7.79,13.54,4.46,17592.69,24.43,2.78,7.79,13.54,2669.97,956.47,1013.81,786.93,2792.62,2190.48,1168.65,1158.64,1781.10,1884.11,4551.47,7144.58,8634.60,56.46,8.50,8.41,8.88,8.93,-6.49,339.45,3.49,-17.57,515.67,471.62
Bombay Cycle,501430,,Diversified - Medium / Small,1918.40,76.74,22.09,19.48,72.46,0.00,0.00,0.58,0.02,16.70,12.78,3.94,2.27,1.64,-0.91,39.18,98.50,34.50,27.50,85.25,56.75,21.75,26.87,6.97,15.72,9.48,2.79,10.12,26.87,6.97,15.72,9.48,0.00,0.00,0.00,0.07,15.82,10.67,7.41,8.57,4.29,0.83,6.92,8.06,10.96,0.00,30.10,2.11,4.09,3.54,10.48,23.51,18.78,10.28,1.38,1.10
Brady & Morris,505690,,Engineering,1709.80,384.71,43.32,40.28,73.98,0.00,0.00,7.62,0.27,40.32,43.29,9.55,5.05,2.39,1.54,115.97,42.44,10.80,10.71,37.38,22.44,8.58,46.94,31.95,102.16,12.37,1.26,88.96,46.94,31.95,102.16,12.37,17.64,27.47,29.78,15.21,24.83,12.06,19.23,16.83,3.38,3.52,7.30,21.74,25.98,56.27,26.08,11.49,11.10,8.14,42.69,50.39,48.59,40.69,2.43,2.41
Capfin India,539198,,Finance & Investments,320.65,91.86,23.67,,65.31,0.00,47.16,0.26,0.09,-23.72,-16.28,-0.08,0.18,-4.99,-8.39,8.22,-0.28,1.47,0.03,-1.61,0.63,0.03,,,,,,1.00,,,,,0.02,0.01,0.00,0.00,3.18,0.03,0.08,0.14,-0.97,0.35,-0.49,-0.59,-0.80,20.83,19.68,9.86,2.64,-15.92,-1.12,-142.11,150.00,-2.75,0.42,0.01
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,2537.55,19288.35,39.32,39.11,70.56,0.00,0.00,2.43,0.00,26.46,24.23,496.78,376.99,-2.41,6.60,81.29,64.96,17.21,16.31,60.19,49.57,15.13,24.04,20.98,24.88,41.63,1.86,1830.78,24.21,21.08,24.96,41.69,234.96,36.46,0.73,4.70,1671.15,879.04,337.95,61.66,172.57,77.90,496.02,659.24,695.45,42.75,16.87,21.17,22.83,29.57,25.80,18.29,16.85,25.31,130.81,124.92
